,name,year,genre,description,director,stars
259,Resident Evil,2002,"
Action, Horror, Sci-Fi            ","A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",Paul W.S. Anderson,"Milla Jovovich ,Michelle Rodriguez ,Ryan McCluskey"
260,Secretary,2002,"
Comedy, Drama, Romance            ","A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one.",Steven Shainberg,"James Spader ,Maggie Gyllenhaal ,Jeremy Davies"
261,Signs,2002,"
Drama, Mystery, Sci-Fi            ","A widowed former reverend living with his children and brother on a Pennsylvania farm finds mysterious crop circles in their fields, which suggests something more frightening to come.",M. Night Shyamalan,"Mel Gibson ,Joaquin Phoenix ,Rory Culkin"
262,Spider-Man,2002,"
Action, Adventure, Sci-Fi            ","After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",Sam Raimi,"Tobey Maguire ,Kirsten Dunst ,Willem Dafoe"
263,The Bourne Identity,2002,"
Action, Mystery, Thriller            ","A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",Doug Liman,"Franka Potente ,Matt Damon ,Chris Cooper"
264,The Lord of the Rings: The Two Towers,2002,"
Action, Adventure, Drama            ","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,"Elijah Wood ,Ian McKellen ,Viggo Mortensen"
265,The Ring,2002,"
Horror, Mystery            ",A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.,Gore Verbinski,"Naomi Watts ,Martin Henderson ,Brian Cox"
266,The Transporter,2002,"
Action, Crime, Thriller            ","Frank Martin, who ""transports"" packages for unknown clients, is asked to move a package that soon begins moving, and complications arise.",Louis Leterrier,"Corey Yuen ,Jason Statham ,Shu Qi"
267,National Lampoon's Van Wilder,2002,"
Comedy, Romance            ",The most popular kid on campus meets a beautiful journalist who makes him realize that maybe he's afraid to graduate.,Walt Becker,"Ryan Reynolds ,Tara Reid ,Tim Matheson"
268,11:14,2003,"
Comedy, Crime, Drama            ","The events leading up to an 11:14 p.m. car crash, from five very different perspectives.",Greg Marcks,"Henry Thomas ,Colin Hanks ,Ben Foster"
269,American Wedding,2003,"
Comedy            ","It's the wedding of Jim and Michelle and the gathering of their families and friends, including Jim's old friends from high school and Michelle's little sister.",Jesse Dylan,"Jason Biggs ,Alyson Hannigan ,Seann William Scott"
270,"Janghwa, Hongryeon",2003,"
Drama, Horror, Mystery            ","After being institutionalized in a mental hospital, Su-mi reunites with her sister, Su-yeon, and they return to live at their country home. But strange events plague the house, leading to surprising revelations and a shocking conclusion.",Jee-woon Kim,"Lim Soo-jung ,Yum Jung-ah ,Kim Kap-su"
271,Bad Santa,2003,"
Comedy, Crime, Drama            ",A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,Terry Zwigoff,"Billy Bob Thornton ,Bernie Mac ,Lauren Graham"
272,Boys,2003,"
Comedy, Drama, Music            ","'Boys' is the story of five boys and a girl from different families They are youthful, vibrant, careless violating all conventions and In the process, they discover their hidden talents.",S. Shankar,"Siddharth ,Nakhul ,Bharath Srinivasan"
273,Bruce Almighty,2003,"
Comedy, Fantasy            ",A whiny news reporter is given the chance to step into God's shoes.,Tom Shadyac,"Jim Carrey ,Jennifer Aniston ,Morgan Freeman"
274,Cold Mountain,2003,"
Adventure, Drama, Romance            ","In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",Anthony Minghella,"Jude Law ,Nicole Kidman ,Renée Zellweger"
275,Daredevil,2003,"
Action, Crime            ",A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.,Mark Steven Johnson,"Ben Affleck ,Jennifer Garner ,Colin Farrell"
276,Dweepa,2002,"
Drama            ","Nagi is the pillar of her small family that includes her husband and her rigid father-in-law. Faced with the possibility of losing her home due to the construction of a dam, Nagi proves her strength.",Girish Kasaravalli,"Soundarya ,Avinash ,M.V. Vasudeva Rao"
277,Freaky Friday,2003,"
Comedy, Family, Fantasy            ","An overworked mother and her daughter did not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",Mark Waters,"Jamie Lee Curtis ,Lindsay Lohan ,Mark Harmon"
278,Holes,2003,"
Adventure, Comedy, Drama            ",A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason.,Andrew Davis,"Shia LaBeouf ,Sigourney Weaver ,Jon Voight"
279,Identity,2003,"
Mystery, Thriller            ","Stranded at a desolate Nevada motel during a nasty rain storm, ten strangers become acquainted with each other when they realize that they're being killed off one by one.",James Mangold,"John Cusack ,Ray Liotta ,Amanda Peet"
280,Johnny English,2003,"
Action, Adventure, Comedy            ","After a sudden attack on MI5, Johnny English, Britain's most confident, yet unintelligent spy, becomes Britain's only spy.",Peter Howitt,"Rowan Atkinson ,John Malkovich ,Natalie Imbruglia"
281,Kal Ho Naa Ho,2003,"
Comedy, Drama, Musical            ","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",Nikkhil Advani,"Preity G Zinta ,Shah Rukh Khan ,Saif Ali Khan"
282,Kiccha,2003,"
Drama, Romance            ","Kiccha, a graduate, whiles away his time like many others and is unable to get a job. Looking at the desperate state of affairs, he finally decides to join politics in order to end unemployment.eradication of ruthless politics.",P.A. Arun Prasad,"Sudeep ,Shweta Agarwal ,Sujatha"
283,Kill Bill: Vol. 1,2003,"
Action, Crime, Thriller            ","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,"Uma Thurman ,David Carradine ,Daryl Hannah"
284,Monster,2003,"
Biography, Crime, Drama            ","Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.",Patty Jenkins,"Charlize Theron ,Christina Ricci ,Bruce Dern"
285,Munna Bhai M.B.B.S.,2003,"
Comedy, Drama            ",A gangster sets out to fulfill his father's dream of becoming a doctor.,Rajkumar Hirani,"Sanjay Dutt ,Arshad Warsi ,Gracy Singh"
286,Oldeuboi,2003,"
Action, Drama, Mystery            ","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",Park Chan-wook,"Choi Min-sik ,Yoo Ji-tae ,Kang Hye-jeong"
287,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"
Action, Adventure, Fantasy            ","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Gore Verbinski,"Johnny Depp ,Geoffrey Rush ,Orlando Bloom"
288,Raktha Kanneeru,2003,"
Comedy, Drama            ","A westernized foreign return indian who has problem wit every concept of indian culture. He falls in love with a prostitute. He marries a village girl after his parents force him to do so. ...                See full summary »
",Sadhu Kokila,"Abhirami ,Kallu Chidambaram ,Doddanna"
289,Runaway Jury,2003,"
Crime, Drama, Thriller            ",A juror on the inside and a woman on the outside manipulate a court trial involving a major gun manufacturer.,Gary Fleder,"John Cusack ,Rachel Weisz ,Gene Hackman"
290,Taxi 3,2003,"
Action, Comedy, Crime            ","Out to stop a new gang disguised as Santa Claus, Emilien and Daniel must also handle major changes in their personal relationships.",Gérard Krawczyk,"Samy Naceri ,Frédéric Diefenthal ,Bernard Farcy"
291,Terminator 3: Rise of the Machines,2003,"
Action, Sci-Fi            ",A machine from a post-apocalyptic future travels back in time to protect a man and a woman from an advanced robotic assassin to ensure they both survive a nuclear attack.,Jonathan Mostow,"Arnold Schwarzenegger ,Nick Stahl ,Kristanna Loken"
292,The League of Extraordinary Gentlemen,2003,"
Action, Adventure, Fantasy            ","In an alternate Victorian Age world, a group of famous contemporary fantasy, science fiction, and adventure characters team up on a secret mission.",Stephen Norrington,"Sean Connery ,Stuart Townsend ,Peta Wilson"
293,The Matrix Reloaded,2003,"
Action, Sci-Fi            ","Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation.",Lana Wachowski,"Lilly Wachowski ,Keanu Reeves ,Laurence Fishburne"
294,The Matrix Revolutions,2003,"
Action, Sci-Fi            ",The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,Lana Wachowski,"Lilly Wachowski ,Keanu Reeves ,Laurence Fishburne"
295,Thirteen,2003,"
Drama            ","A thirteen-year-old girl's relationship with her mother is put to the test as she discovers drugs, sex, and petty crime in the company of her cool but troubled best friend.",Catherine Hardwicke,"Evan Rachel Wood ,Holly Hunter ,Nikki Reed"
296,Underworld,2003,"
Action, Fantasy, Thriller            ","Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons.",Len Wiseman,"Kate Beckinsale ,Scott Speedman ,Shane Brolly"
297,X2,2003,"
Action, Sci-Fi, Thriller            ","When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.",Bryan Singer,"Patrick Stewart ,Hugh Jackman ,Halle Berry"
298,50 First Dates,2004,"
Comedy, Drama, Romance            ",Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.,Peter Segal,"Adam Sandler ,Drew Barrymore ,Rob Schneider"
299,Aapthamitra,2004,"
Drama, Horror, Thriller            ","Ramesh and Ganga, a married couple, buy a palatial house, which is home to a vengeful spirit. When Ganga accidentally sets the spirit free, mysterious incidents start taking place in their household.",P. Vasu,"Vishnuvardhan ,Soundarya ,Ramesh Aravind"
300,AVP: Alien vs. Predator,2004,"
Action, Adventure, Horror            ","During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.",Paul W.S. Anderson,"Sanaa Lathan ,Lance Henriksen ,Raoul Bova"
301,Nae meorisokui jiwoogae,2004,"
Drama, Romance            ",A young couple's enduring love is tested when 27-year-old Su-jin is diagnosed with a rare form of Alzheimer's disease.,Park Kyung-Jin,"John H. Lee ,Kim Tae-Won ,Jung Woo-sung"
302,A Series of Unfortunate Events,2004,"
Adventure, Comedy, Family            ","When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.",Brad Silberling,"Jim Carrey ,Jude Law ,Meryl Streep"
303,Before Sunset,2004,"
Drama, Romance            ","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Richard Linklater,"Ethan Hawke ,Julie Delpy ,Vernon Dobtcheff"
304,Cellular,2004,"
Action, Crime, Thriller            ","A young man receives an emergency phone call on his cell phone from an older woman. The catch? The woman claims to have been kidnapped, and the kidnappers have targeted her husband and child next.",David R. Ellis,"Kim Basinger ,Chris Evans ,Jason Statham"
305,Chasing Liberty,2004,"
Comedy, Romance            ",Anna wants to be like other girls her age (18): date a guy etc. but she's the US president's daughter and always guarded. In Prague he breaks his promise of only 2 agents following her to a concert and she runs away with Ben to see Europe.,Andy Cadiff,"Mandy Moore ,Matthew Goode ,Mark Harmon"
306,Collateral,2004,"
Action, Crime, Drama            ",A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,Michael Mann,"Tom Cruise ,Jamie Foxx ,Jada Pinkett Smith"
307,Dawn of the Dead,2004,"
Action, Horror            ","A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.",Zack Snyder,"Sarah Polley ,Ving Rhames ,Mekhi Phifer"
308,Banlieue 13,2004,"
Action, Crime, Sci-Fi            ","In the ghettos of Paris in 2010, an undercover cop and an ex-thug try to infiltrate a gang in order to defuse a neutron bomb.",Pierre Morel,"Cyril Raffaelli ,David Belle ,Tony D'Amario"
309,Ella Enchanted,2004,"
Comedy, Family, Fantasy            ","Ella is under a spell to be constantly obedient, a fact she must hide from her new stepfamily in order to protect the prince of the land, her friend for whom she's falling.",Tommy O'Haver,"Anne Hathaway ,Hugh Dancy ,Cary Elwes"
